model,angry-closed,calm-closed,disgust-closed,fear-closed,happy-closed,neutral-closed,sad-closed,surp-closed,angry-open,calm-open,disgust-open,fear-open,happy-open,neutral-open,sad-open,surp-open,happy-exuberant
1,0.65,0.91,0.4,0.59,0.97,0.91,0.89, ,0.9,0.79,0.83,0.53,0.97,0.7,0.65,0.55,0.87
2,0.63,0.86,0.76,0.53,0.97,0.89,0.7, ,0.87,0.75,0.66,0.54,0.99,0.84,0.67,0.65,0.87
3,0.86,0.74,0.92, ,0.86,0.86,0.95, ,0.96,0.77,0.92,0.81,0.74,0.9,0.9,0.68,0.71
5,0.75,0.77,0.45,0.48,0.89,0.79,0.68, ,0.85,0.88,0.82,0.76,0.94,0.84,0.79,0.81,0.88
6,0.66,0.87,0.89,0.59,0.92,0.87,0.62, ,0.57,0.57,0.66,0.59,0.97,0.64,0.24,0.58,0.81
7,0.96,0.96, ,0.84,0.98,0.96,0.93, ,0.92,0.93,0.92,0.73,0.96,0.82,0.85,0.81,0.94
8,0.82,0.78,0.69,0.37,0.93,0.74,0.52, ,0.96, ,0.93,0.56,0.99,0.71,0.71,0.71,0.96
9,0.73,0.85,0.84,0.58,0.96,0.94,0.82, ,0.92,0.83,0.77,0.76,0.98,0.91,0.6,0.71,0.89
10,0.88,0.94,0.76,0.76,0.98,0.89,0.8, ,0.96,0.87,0.86,0.81,0.97,0.91,0.86,0.86,
11,0.81,0.81,0.81,0.1,0.83,0.85,0.71, ,0.78,0.87,0.77,0.49,0.99,0.89,0.68,0.64,0.93
12,0.85,0.88,0.86,0.64,0.95,0.68,0.76, ,0.87,0.93,0.77,0.72,0.99,0.77,0.68,0.8,0.99
13,0.83,0.84,0.89,0.41,0.96,0.86,0.77, ,0.82,0.78,0.7,0.59,0.99,0.91,0.82,0.5,0.62
14,0.86,0.75,0.76,0.7,0.98,0.87,0.6, ,0.96,0.75,0.91,0.86,0.98,0.93,0.81,0.91,0.97
15,0.43,0.73,0.89,0.55,0.92,0.73,0.76,0.57,0.67,0.82,0.71,0.53,0.96,0.9,0.66,0.5,0.94
16,0.87,0.81,0.93,0.27,0.94,0.8,0.64, ,0.56,0.89,0.67,0.53,0.99,0.63,0.74,0.35,0.99
17,0.91,0.91,0.93, ,0.91,0.91,0.88, ,0.98,0.95,0.96,0.77,0.97,0.93, ,0.79,0.97
18,0.86,0.9,0.68,0.7,0.91,0.92,0.88, ,0.95,0.9,0.7,0.7,0.98,0.83,0.54,0.68,0.91
19,0.83,0.78,0.93, ,0.97,0.94,0.88, ,0.96,0.84,0.8,0.69,0.96,0.88,0.72,0.55,0.9
20,0.89,0.92, ,0.77,0.96,0.92,0.83, ,0.98,0.87,0.85,0.68,0.79,0.93,0.82,0.54,0.78
21,0.56,0.73,0.85,0.62,0.95,0.75,0.71, ,0.88,0.68,0.86,0.74,0.93,0.75,0.26,0.79,0.88
22,0.79,0.69,0.89,0.29,0.86,0.82,0.74,0.68,0.8,0.69,0.82,0.6,0.91,0.75,0.44,0.79,0.82
23,0.97,0.93,0.81,0.84,0.94,0.96,0.85, ,0.97,0.94,0.12,0.62,0.97,0.96,0.32,0.76,0.97
24,0.79,0.75,0.42, ,0.79,0.92,0.69, ,0.89,0.81,0.23,0.73,0.9,0.88,0.54,0.8,0.91
25,0.95,0.91,0.08, ,0.93,0.86,0.56, ,0.97,0.8,0.71,0.59,0.92, ,0.77,0.59,0.96
26,0.65,0.91,0.36,0.28,0.93,0.87,0.9, ,0.87,0.83,0.92,0.63,0.97,0.79,0.62,0.69,0.95
27,0.89, ,0.93,0.51, ,0.93,0.92, ,0.94,0.88,0.85,0.73,0.95,0.87,0.6,0.75,0.88
28,0.73,0.82,0.9,0.57,0.98,0.76,0.36, ,0.73,0.61,0.88,0.49,0.97,0.76,0.36,0.61,0.98
29,0.42,0.76,0.71,0.55,0.83,0.79,0.86, ,0.94,0.63,0.6,0.67,0.95,0.77,0.31,0.65,0.66
30,0.7,0.89, ,0.39,0.95,0.9,0.8, ,0.54,0.73,0.67,0.37,0.94,0.85,0.47,0.5,0.78
31,0.87,0.57,0.87,0.5,0.76,0.62,0.77, ,0.9,0.87,0.8,0.52,0.95,0.92,0.6,0.58,0.83
32,0.63,0.62,0.48,0.3,0.73,0.67,0.71, ,0.92,0.77,0.41,0.55,0.99,0.78,0.47,0.7,0.92
33,0.78,0.92,0.62,0.64,0.94,0.92,0.66, ,0.89,0.84,0.68,0.74,0.95,0.91,0.43,0.64,0.74
34,0.9,0.91,0.72,0.27,0.96,0.96,0.96, ,0.96,0.86,0.92,0.62,0.97,0.86,0.83,0.62,0.83
35,0.8,0.85, , ,0.98,0.86, , ,0.78,0.58,0.84,0.52,0.97,0.63,0.52,0.61,0.82
36,0.93,0.88,0.94,0.74,0.96,0.9,0.88, ,0.94,0.85,0.93,0.8,1,0.86,0.79,0.81,0.9
37,0.85,0.92,0.89,0.34,0.94,0.89,0.82, ,0.94,0.9,0.48,0.81,0.97,0.89,0.54,0.74,0.78
38,0.81,0.88,0.84,0.15,0.97,0.85,0.6, ,0.96,0.7,0.91,0.79,0.98,0.66,0.45,0.72,0.98
39,0.63,0.87,0.63,0.73,0.79,0.86,0.76, ,0.9,0.87,0.79,0.72,0.97,0.79,0.5,0.71,0.92
40,0.77,0.92,0.83,0.63,0.96,0.93,0.91, ,0.95,0.92,0.91,0.84,0.96,0.92,0.84,0.83,0.94
41,0.72,0.88,0.72,0.68,0.89,0.92,0.69, ,0.88,0.93,0.84,0.67,1,0.86,0.78,0.61,0.86
42,0.9,0.94,0.74, ,0.94,0.96,0.74, ,0.97,0.81,0.71,0.71,0.98,0.95,0.56,0.62,0.76
43,0.77,0.91,0.85,0.91,0.91,0.96,0.9, ,0.92,0.61,0.94,0.88,0.96,0.73,0.5,0.81,0.96
45,0.83,0.81,0.86,0.64,0.89,0.86,0.66, ,0.98,0.93,0.97,0.79,0.89,0.93,0.95,0.68,0.82
